2023 National Employment Matrix title,2023 National Employment Matrix code,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Adaptability,Computers and information technology,Creativity and innovation,Critical and analytical thinking,Customer service,Detail oriented,Fine motor,Interpersonal,Leadership,Mathematics,Mechanical,Physical strength and stamina,Problem solving and decision making,Project management,Science,Speaking and listening,Writing and reading
"  Petroleum pump system operators, refinery operators, and gaugers",51-8093,33.6,32.8,-0.8,-2.3,"97,540",High school diploma or equivalent,3.6,3.0,2.3,3.0,2.2,4.0,3.2,3.0,3.0,2.9,2.9,2.8,3.5,2.3,2.1,2.7,3.1
"  Special education teachers, secondary school",25-2058,159.5,158.6,-0.9,-0.6,"69,590",Bachelor's degree,4.2,3.7,3.3,3.4,3.5,3.5,1.6,4.2,3.7,3.1,1.3,1.9,3.7,3.0,2.1,3.8,4.0
  First-line supervisors of correctional officers,33-1011,55.5,54.6,-0.9,-1.6,"76,310",High school diploma or equivalent,4.2,3.8,2.6,3.5,3.7,3.7,2.1,3.9,4.2,2.3,1.8,2.9,3.9,3.0,1.4,3.7,3.7
  Gambling change persons and booth cashiers,41-2012,21.4,20.5,-0.9,-4.3,"34,810",No formal educational credential,3.8,2.6,1.9,2.7,3.8,3.8,2.6,3.5,3.0,3.2,2.0,2.3,3.3,2.6,1.1,2.9,2.9
  Desktop publishers,43-9031,6.4,5.6,-0.9,-13.4,"53,620",Associate's degree,3.9,3.9,3.5,3.2,2.5,3.7,2.7,3.0,2.9,2.2,1.7,1.6,3.3,2.7,1.0,3.1,3.6
  Pipelayers,47-2151,37.3,36.4,-0.9,-2.3,"48,710",No formal educational credential,3.4,1.7,2.5,2.6,2.7,3.9,3.3,3.0,3.0,2.5,3.3,3.2,3.3,2.3,2.4,2.8,2.6
"  Insurance appraisers, auto damage",13-1032,10.5,9.5,-1.0,-9.2,"76,650",Postsecondary nondegree award,3.7,3.8,2.4,3.0,4.0,3.6,2.2,3.3,2.6,2.7,2.1,1.8,3.8,2.9,1.3,3.3,3.6
  Metal-refining furnace operators and tenders,51-4051,21.4,20.4,-1.0,-4.8,"55,770",High school diploma or equivalent,3.5,2.2,2.3,2.9,2.2,3.8,3.5,2.9,3.1,2.6,2.9,3.0,3.3,2.5,2.2,2.7,2.8
"  Drafters, all other[2]",17-3019,18.5,17.4,-1.1,-5.7,"62,010",Associate's degree,3.7,3.9,3.0,3.4,2.4,3.8,2.4,2.8,2.7,3.2,1.6,1.3,3.3,2.5,2.0,3.1,3.3
  Broadcast announcers and radio disc jockeys,27-3011,26.5,25.4,-1.1,-4.0,"45,680",Bachelor's degree,4.1,3.8,3.7,3.1,3.7,3.8,2.4,3.4,3.0,2.1,2.0,1.6,3.8,2.6,1.3,4.3,3.9
"  Coil winders, tapers, and finishers",51-2021,12.1,10.9,-1.1,-9.3,"47,260",High school diploma or equivalent,3.4,2.0,2.3,2.6,2.3,4.1,3.2,3.0,2.8,2.3,2.2,2.5,3.1,2.3,1.9,2.7,2.6
"  Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,5.8,4.7,-1.1,-19.2,"46,630",High school diploma or equivalent,3.7,3.0,2.6,3.0,2.1,4.1,3.4,2.6,2.6,3.0,3.1,2.6,3.4,2.0,2.0,2.7,3.0
  Shoe and leather workers and repairers,51-6041,9.4,8.3,-1.1,-11.9,"35,950",High school diploma or equivalent,2.9,1.8,2.4,2.7,2.7,3.4,3.3,3.0,2.6,1.9,2.1,2.5,3.1,2.3,1.3,2.5,2.6
  Telephone operators,43-2021,4.7,3.5,-1.2,-26.4,"39,130",High school diploma or equivalent,4.1,2.7,2.3,2.7,3.6,3.7,2.5,3.6,2.5,2.0,1.1,1.1,3.2,2.1,1.0,3.7,2.9
"  Loading and moving machine operators, underground mining",47-5044,5.3,4.1,-1.2,-22.9,"68,860",No formal educational credential,3.1,1.5,2.1,2.4,2.1,3.5,3.3,2.8,2.8,2.0,3.1,2.9,2.7,2.0,1.5,2.7,2.4
"  Electronic equipment installers and repairers, motor vehicles",49-2096,9.1,7.9,-1.2,-13.2,"47,940",High school diploma or equivalent,3.7,3.2,2.9,3.2,3.3,4.1,3.5,3.1,3.1,2.6,3.3,2.9,3.5,2.6,1.8,2.9,3.1
"  Textile cutting machine setters, operators, and tenders",51-6062,9.9,8.7,-1.2,-11.7,"37,940",High school diploma or equivalent,3.3,2.3,2.3,2.7,2.0,3.9,3.2,2.8,2.8,2.2,2.9,2.8,2.8,2.4,1.3,2.5,2.6
  Logging equipment operators,45-4022,34.1,32.8,-1.3,-3.8,"49,210",High school diploma or equivalent,3.4,1.9,2.4,2.6,2.3,3.7,3.5,3.0,3.1,2.3,3.4,2.6,3.6,2.6,1.5,2.5,2.6
"  Woodworking machine setters, operators, and tenders, except sawing",51-7042,60.6,59.3,-1.3,-2.2,"40,440",High school diploma or equivalent,3.1,1.9,2.3,2.6,2.0,3.7,3.5,2.3,2.4,2.4,2.9,3.0,3.1,1.9,1.5,2.6,2.3
"  Cutters and trimmers, hand",51-9031,6.9,5.6,-1.3,-18.4,"38,800",No formal educational credential,2.7,1.7,1.9,2.3,1.5,3.5,3.1,2.7,2.7,2.1,1.8,2.5,2.5,2.0,1.2,2.5,2.4
"  News analysts, reporters, and journalists",27-3023,49.8,48.4,-1.4,-2.7,"60,280",Bachelor's degree,4.1,3.5,3.3,3.3,3.1,3.7,2.1,3.3,2.8,2.0,1.4,1.4,3.6,2.4,1.4,4.0,4.1
  Brokerage clerks,43-4011,49.7,48.2,-1.4,-2.8,"62,940",High school diploma or equivalent,3.8,3.5,2.3,3.2,3.1,3.9,2.3,3.0,2.4,3.2,1.1,1.2,3.4,2.2,1.0,3.3,3.4
"  Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,15.2,13.8,-1.4,-9.5,"47,450",High school diploma or equivalent,3.3,2.5,2.2,2.7,2.2,3.5,3.4,2.8,2.9,2.9,2.9,3.2,3.1,2.1,2.1,2.7,2.9
"  Metal workers and plastic workers, all other[2]",51-4199,20.7,19.2,-1.4,-6.9,"42,750",High school diploma or equivalent,3.3,2.3,2.4,2.8,2.1,3.8,3.4,2.7,2.7,2.6,2.8,2.7,3.2,2.3,1.7,2.6,2.6
"  Cutting and slicing machine setters, operators, and tenders",51-9032,52.5,51.1,-1.4,-2.7,"45,700",High school diploma or equivalent,3.2,2.6,2.1,2.8,2.3,3.8,3.8,2.8,3.1,2.7,3.0,3.1,3.3,2.3,1.5,2.5,2.9
"  Graders and sorters, agricultural products",45-2041,32.2,30.6,-1.5,-4.7,"35,430",No formal educational credential,2.8,1.9,1.7,2.1,2.0,2.9,2.8,2.6,2.5,1.8,1.7,2.5,2.6,2.0,1.5,2.5,2.2
  Cement masons and concrete finishers,47-2051,211.8,210.3,-1.5,-0.7,"54,660",No formal educational credential,3.3,2.1,2.3,2.7,2.8,3.8,3.5,2.8,3.3,2.6,2.6,3.5,3.3,2.9,1.6,2.7,2.2
"  Forging machine setters, operators, and tenders, metal and plastic",51-4022,9.3,7.9,-1.5,-15.7,"49,240",High school diploma or equivalent,3.4,2.5,2.7,2.7,2.3,3.7,3.2,2.9,3.1,2.5,2.9,2.6,3.3,2.1,1.9,2.9,3.0
"  Textile, apparel, and furnishings workers, all other[2]",51-6099,15.6,14.1,-1.5,-9.5,"37,010",High school diploma or equivalent,3.2,1.8,2.2,2.5,2.3,3.3,3.2,2.9,2.7,2.1,2.3,2.6,2.8,2.3,1.4,2.6,2.4
  Dental laboratory technicians,51-9081,35.1,33.7,-1.5,-4.2,"48,310",High school diploma or equivalent,3.8,2.7,3.2,3.0,2.5,3.9,3.7,3.1,3.2,2.0,2.6,1.8,3.3,2.9,2.1,2.7,3.1
"  Education administrators, kindergarten through secondary",11-9032,316.6,315.0,-1.6,-0.5,"104,070",Master's degree,4.2,3.5,3.5,3.9,4.0,3.5,1.7,4.2,4.4,3.1,1.4,1.9,4.3,3.8,1.6,4.0,4.2
"  Special education teachers, kindergarten and elementary school[2]",25-2052,212.7,211.2,-1.6,-0.7,"63,000",Bachelor's degree,4.2,3.7,3.3,3.4,3.5,3.5,1.6,4.2,3.7,3.1,1.3,1.9,3.7,3.0,2.1,3.8,4.0
"  Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,17.1,15.6,-1.6,-9.1,"46,480",No formal educational credential,3.3,1.4,2.4,2.6,2.4,3.5,3.3,2.8,3.0,2.4,2.7,3.4,3.0,2.5,1.6,2.5,2.3
"  Tailors, dressmakers, and custom sewers",51-6052,24.6,23.0,-1.6,-6.5,"40,860",No formal educational credential,3.4,1.8,2.9,2.6,3.0,3.6,3.6,2.9,2.3,2.2,2.1,2.2,3.3,2.4,1.3,2.8,2.6
  Gas plant operators,51-8092,16.1,14.6,-1.6,-9.8,"83,400",High school diploma or equivalent,3.7,3.5,2.4,3.2,2.5,4.1,3.0,3.1,3.1,2.9,3.0,2.4,3.7,2.7,2.2,2.8,3.1
"  Education and childcare administrators, preschool and daycare",11-9031,80.9,79.2,-1.7,-2.1,"56,270",Bachelor's degree,4.2,3.4,3.3,3.3,3.7,3.9,1.9,4.1,4.1,2.9,1.4,2.0,4.0,3.5,1.7,3.6,3.8
  School bus monitors[2],33-9094,70.1,68.4,-1.7,-2.4,"34,980",High school diploma or equivalent,3.7,2.3,2.2,2.6,3.5,3.8,3.3,3.5,2.6,2.1,2.4,2.3,3.3,2.1,1.3,2.9,2.8
"  Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,51.8,50.1,-1.7,-3.3,"45,650",High school diploma or equivalent,3.6,3.2,2.4,2.9,2.7,3.9,2.8,3.2,3.3,3.1,2.2,2.4,3.1,2.7,1.6,2.9,3.2
"  Computer, automated teller, and office machine repairers",49-2011,85.7,84.0,-1.7,-2.0,"46,860","Some college, no degree",3.6,3.6,2.6,3.1,3.2,3.5,3.2,2.6,2.3,1.9,3.4,2.3,3.6,2.5,1.5,3.1,3.0
  Locksmiths and safe repairers,49-9094,17.6,15.8,-1.7,-9.9,"50,490",High school diploma or equivalent,4.1,3.2,2.8,2.8,3.6,3.7,3.7,3.1,3.1,2.6,3.4,2.7,3.5,3.2,1.4,3.0,3.0
  Jewelers and precious stone and metal workers,51-9071,46.2,44.5,-1.7,-3.7,"49,140",High school diploma or equivalent,3.5,2.0,3.4,3.0,2.9,3.8,3.6,2.7,2.4,2.6,2.2,1.5,3.3,2.8,1.8,2.6,2.4
  Carpet installers,47-2041,20.3,18.5,-1.8,-8.9,"49,850",No formal educational credential,3.5,1.4,2.5,2.7,2.9,3.6,3.2,2.9,3.0,3.0,2.4,3.3,3.5,2.4,1.5,2.6,2.4
"  Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,14.1,12.3,-1.8,-12.9,"48,310",High school diploma or equivalent,3.5,2.6,2.4,2.8,2.2,3.8,3.3,2.7,2.8,2.9,3.0,2.9,2.9,2.2,1.7,2.6,2.8
"  Rolling machine setters, operators, and tenders, metal and plastic",51-4023,25.0,23.1,-1.9,-7.7,"48,630",High school diploma or equivalent,3.6,2.6,2.5,3.0,2.5,3.8,3.5,2.9,3.2,2.5,3.4,3.0,3.5,2.5,1.6,2.8,2.8
"  Textile knitting and weaving machine setters, operators, and tenders",51-6063,16.4,14.4,-1.9,-11.8,"38,260",High school diploma or equivalent,3.5,2.3,2.3,2.6,2.1,3.5,3.6,2.7,2.8,2.0,2.7,2.9,2.9,2.2,1.3,2.6,2.6
"  Woodworkers, all other[2]",51-7099,15.1,13.1,-2.0,-13.5,"41,220",High school diploma or equivalent,3.3,1.8,2.4,2.8,2.3,3.6,3.5,2.6,2.5,2.7,2.8,3.1,3.2,2.2,1.5,2.5,2.6
"  Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,24.1,22.0,-2.1,-8.8,"37,660",High school diploma or equivalent,3.3,2.0,2.1,2.6,2.0,3.4,3.6,2.6,2.5,2.2,2.7,3.1,2.7,2.1,1.3,2.6,2.4
  Postal service clerks,43-5051,74.6,72.4,-2.2,-3.0,"61,630",No formal educational credential,3.7,2.9,2.2,2.7,3.9,3.5,2.7,3.2,2.7,3.0,1.7,2.7,3.0,2.4,1.3,3.2,3.1
"  Grinding and polishing workers, hand",51-9022,12.5,10.3,-2.2,-17.8,"41,690",No formal educational credential,3.5,2.3,3.1,2.7,2.2,3.8,3.8,3.0,2.8,2.2,3.2,2.8,3.0,3.0,1.3,2.6,2.9
  Editors,27-3041,114.2,111.9,-2.3,-2.0,"75,260",Bachelor's degree,3.9,3.5,3.3,3.3,3.1,3.6,2.2,3.1,3.2,2.1,1.3,1.2,3.6,2.4,1.2,3.8,4.4
"  Meter readers, utilities",43-5041,20.4,18.1,-2.3,-11.4,"49,180",High school diploma or equivalent,3.4,2.9,2.3,2.7,3.4,3.6,3.1,3.1,2.7,2.7,2.4,3.0,3.2,2.3,1.8,2.7,2.8
"  Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,19.7,17.5,-2.3,-11.4,"48,620",High school diploma or equivalent,3.4,2.5,2.4,2.7,2.0,3.7,3.4,2.7,2.8,2.6,2.9,2.7,3.2,2.1,1.5,2.6,2.7
"  Cooks, private household",35-2013,37.8,35.4,-2.4,-6.3,"44,530",Postsecondary nondegree award,3.7,2.7,2.9,2.8,3.0,3.4,3.2,3.2,2.7,2.4,1.7,2.5,3.3,3.2,1.8,2.8,2.7
  Mechanical drafters,17-3013,50.4,47.9,-2.5,-4.9,"68,510",Associate's degree,3.7,3.9,3.1,3.3,2.3,3.9,2.5,2.9,2.5,3.5,1.9,1.3,3.4,2.4,2.3,2.9,3.2
  Medical transcriptionists,31-9094,54.5,51.9,-2.6,-4.7,"37,550",Postsecondary nondegree award,3.5,3.8,1.9,2.7,2.6,3.8,2.8,3.0,2.3,1.9,1.2,1.4,3.1,2.3,1.4,3.1,3.8
  Cabinetmakers and bench carpenters,51-7011,99.7,97.0,-2.7,-2.7,"46,020",High school diploma or equivalent,3.4,1.8,2.6,3.0,2.8,3.5,3.6,2.7,2.4,3.2,3.0,3.2,3.3,2.4,1.5,2.5,2.8
  Credit analysts,13-2041,73.7,70.8,-2.8,-3.9,"80,970",Bachelor's degree,3.8,3.5,2.2,3.8,2.3,3.7,1.6,2.7,2.6,3.7,1.1,1.1,3.4,2.3,1.1,3.2,3.6
  Telecommunications line installers and repairers,49-9052,102.2,99.4,-2.8,-2.7,"70,500",High school diploma or equivalent,3.8,3.1,2.6,3.0,3.6,3.8,3.1,3.3,2.9,2.2,3.1,3.1,3.5,2.5,1.6,3.1,2.9
  Butchers and meat cutters,51-3021,139.1,136.2,-2.9,-2.1,"38,960",No formal educational credential,3.4,2.2,2.2,2.6,3.8,3.7,3.4,3.3,3.3,2.5,2.1,2.8,3.4,2.8,1.4,2.7,2.5
  Foundry mold and coremakers,51-4071,11.8,8.9,-2.9,-24.6,"45,700",High school diploma or equivalent,3.3,1.9,2.2,2.6,2.1,3.7,3.2,2.7,2.7,2.2,2.4,3.1,3.1,2.3,2.3,2.5,2.1
  Power plant operators,51-8013,32.4,29.3,-3.1,-9.4,"99,670",High school diploma or equivalent,3.7,3.1,2.5,3.2,2.2,4.1,3.0,3.1,2.9,2.3,3.1,2.5,3.5,2.3,2.1,3.1,3.1
"  Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,35.6,32.5,-3.2,-8.9,"47,060",High school diploma or equivalent,3.2,1.8,2.3,2.6,1.9,3.4,3.3,2.7,2.8,2.4,2.7,2.8,2.9,2.3,1.7,2.7,2.5
"  Pressers, textile, garment, and related materials",51-6021,29.3,25.8,-3.5,-12.0,"33,880",No formal educational credential,3.3,1.8,2.5,2.3,2.5,3.4,3.2,2.8,2.4,1.8,2.4,2.8,2.2,2.3,1.3,2.1,2.0
"  Plating machine setters, operators, and tenders, metal and plastic",51-4193,32.4,28.8,-3.6,-11.1,"41,600",High school diploma or equivalent,3.3,2.0,2.5,2.8,2.3,3.8,3.2,2.9,3.1,2.4,2.6,2.7,3.1,2.3,2.5,2.7,2.9
"  Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51-4072,158.8,154.9,-3.9,-2.5,"41,230",High school diploma or equivalent,3.3,2.3,2.2,2.7,1.9,3.6,3.3,2.8,2.8,2.5,3.0,3.0,3.0,2.1,1.7,2.7,2.9
  Procurement clerks,43-3061,63.3,59.1,-4.2,-6.7,"48,510",High school diploma or equivalent,3.9,3.5,2.6,3.2,2.8,3.6,1.5,3.6,2.7,3.0,1.4,1.5,3.7,3.0,1.6,3.3,3.6
  Prepress technicians and workers,51-5111,23.3,19.0,-4.3,-18.5,"47,300",Postsecondary nondegree award,3.8,3.6,3.1,2.9,2.5,3.8,2.9,2.8,3.0,2.4,2.2,1.4,3.2,2.6,1.4,2.8,3.0
"  Mail clerks and mail machine operators, except postal service",43-9051,70.6,66.2,-4.4,-6.2,"38,150",High school diploma or equivalent,3.5,2.8,2.2,2.5,3.0,3.8,3.0,3.1,2.7,2.4,2.1,2.6,3.3,2.0,1.1,2.7,2.9
"  Office machine operators, except computer",43-9071,29.2,24.8,-4.4,-15.1,"39,020",High school diploma or equivalent,3.3,3.2,2.4,2.6,2.9,3.3,2.7,2.9,2.8,2.7,2.5,2.2,2.9,2.7,1.1,2.7,3.0
  Library technicians,25-4031,81.5,77.0,-4.6,-5.6,"39,970",Postsecondary nondegree award,3.8,3.5,2.6,2.7,3.2,3.3,2.5,3.4,2.5,2.2,1.4,2.2,3.1,2.6,1.3,3.1,3.1
  Insurance underwriters,13-2053,118.4,113.7,-4.7,-4.0,"79,880",Bachelor's degree,3.8,3.5,2.4,3.5,3.3,3.7,1.9,3.0,2.6,2.9,1.1,1.1,3.8,2.5,1.4,3.1,3.7
"  Middle school teachers, except special and career/technical education",25-2022,640.0,635.3,-4.7,-0.7,"62,970",Bachelor's degree,4.3,3.5,3.5,3.3,3.5,3.5,1.6,4.0,3.8,3.0,1.3,1.5,3.8,2.7,2.2,3.9,3.9
"  Door-to-door sales workers, news and street vendors, and related workers",41-9091,32.4,27.7,-4.8,-14.6,"34,530",No formal educational credential,3.2,3.0,2.3,2.4,3.9,2.6,1.7,3.5,3.0,2.1,1.2,1.4,3.0,2.5,1.1,3.5,2.9
  Loan interviewers and clerks,43-4131,206.1,201.2,-4.9,-2.4,"48,950",High school diploma or equivalent,3.9,3.5,2.5,3.3,4.0,3.7,2.1,3.2,2.6,3.2,1.3,1.3,3.8,2.4,1.0,3.6,3.8
"  Library assistants, clerical",43-4121,87.7,82.7,-5.0,-5.7,"36,010",High school diploma or equivalent,3.6,3.5,2.5,2.6,3.2,3.2,2.4,3.5,2.6,2.1,1.3,2.2,3.2,2.6,1.1,3.1,3.1
"  Human resources assistants, except payroll and timekeeping",43-4161,104.2,99.2,-5.0,-4.8,"49,440",Associate's degree,3.7,3.7,2.3,2.9,3.4,3.5,1.6,3.6,2.8,2.1,1.2,1.4,3.3,2.8,1.0,3.4,3.7
"  Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,31.4,26.3,-5.2,-16.4,"61,680",High school diploma or equivalent,3.7,2.7,2.7,2.9,2.3,3.9,3.4,3.1,2.9,2.6,3.0,2.8,3.3,2.8,2.0,2.8,2.9
"  Adult basic education, adult secondary education, and english as a second language instructors",25-3011,41.7,36.4,-5.3,-12.7,"59,950",Bachelor's degree,3.9,3.1,3.2,3.0,2.8,3.3,1.5,3.6,3.1,2.8,1.2,1.3,3.5,2.2,1.5,3.6,3.9
"  Cooks, short order",35-2015,128.8,123.5,-5.3,-4.1,"35,620",No formal educational credential,3.6,2.1,2.5,2.4,3.4,3.4,2.8,3.1,3.0,2.3,1.8,2.6,3.0,2.7,1.5,2.9,2.6
"  Telecommunications equipment installers and repairers, except line installers",49-2022,162.3,156.8,-5.5,-3.4,"62,630",Postsecondary nondegree award,3.8,3.8,2.7,3.3,3.5,3.5,3.3,3.3,2.7,2.8,3.4,3.0,3.9,2.3,1.8,3.2,3.2
  Floral designers,27-1023,53.7,48.1,-5.6,-10.4,"36,120",High school diploma or equivalent,3.4,2.8,3.4,2.9,3.6,3.2,2.9,3.2,2.3,2.3,1.3,2.5,3.0,2.9,1.5,3.2,2.6
  Machine feeders and offbearers,53-7063,43.8,38.2,-5.6,-12.7,"39,700",No formal educational credential,2.9,2.0,2.0,2.2,2.0,3.5,3.4,2.8,2.5,2.4,2.3,2.7,2.5,2.0,1.4,2.7,2.5
  Receptionists and information clerks,43-4171,"1,054.5","1,048.8",-5.7,-0.5,"37,230",High school diploma or equivalent,3.8,3.5,2.4,2.4,3.6,3.2,2.3,3.7,2.6,2.4,1.3,1.4,3.4,2.3,1.2,3.5,3.2
  Tool and die makers,51-4111,59.1,53.3,-5.8,-9.7,"63,180",Postsecondary nondegree award,3.7,2.8,2.9,3.1,1.9,4.1,3.3,2.5,2.7,2.9,3.1,2.4,3.6,2.3,1.6,2.6,2.8
"  Secretaries and administrative assistants, except legal, medical, and executive",43-6014,"1,982.3","1,976.2",-6.1,-0.3,"46,290",High school diploma or equivalent,3.6,3.6,2.4,2.7,3.1,3.5,2.3,3.6,2.5,2.3,1.3,1.3,3.1,2.5,1.3,3.5,3.7
  New accounts clerks,43-4141,42.2,36.0,-6.2,-14.6,"46,610",High school diploma or equivalent,3.8,3.3,2.1,2.8,3.8,3.7,2.3,3.6,2.9,3.1,1.2,1.6,3.3,2.0,1.0,3.4,3.1
  Chemical equipment operators and tenders,51-9011,121.9,115.4,-6.5,-5.4,"57,090",High school diploma or equivalent,3.6,3.4,2.3,3.1,2.3,3.9,3.1,3.2,3.4,2.9,3.0,2.8,3.6,2.4,2.8,2.9,3.4
  Print binding and finishing workers,51-5113,38.1,31.4,-6.7,-17.5,"39,820",High school diploma or equivalent,3.4,2.2,2.4,2.8,2.3,3.8,3.3,2.8,3.0,2.3,2.9,2.8,3.3,2.3,1.4,2.7,3.0
"  Secondary school teachers, except special and career/technical education",25-2031,"1,071.4","1,064.5",-6.9,-0.6,"64,580",Bachelor's degree,4.3,3.6,3.6,3.4,3.3,3.4,1.6,3.9,3.4,2.9,1.3,1.5,3.8,2.9,2.1,4.0,3.9
  Advertising sales agents,41-3011,111.6,104.2,-7.4,-6.6,"61,460",High school diploma or equivalent,3.8,3.5,3.3,3.0,4.1,3.4,1.7,3.7,2.6,3.0,1.3,1.4,3.6,2.7,1.1,3.9,3.4
  Water and wastewater treatment plant and system operators,51-8031,124.7,117.2,-7.5,-6.0,"58,260",High school diploma or equivalent,3.5,3.3,2.3,3.1,2.6,3.9,2.7,3.1,3.1,3.1,3.3,2.4,3.7,2.7,3.3,3.0,3.3
  Legal secretaries and administrative assistants,43-6012,154.2,146.3,-7.9,-5.1,"54,140",High school diploma or equivalent,3.5,3.4,2.2,2.7,2.7,3.6,2.2,3.2,2.4,2.1,1.2,1.3,3.0,2.3,1.0,3.3,3.7
"  Teaching assistants, except postsecondary[2]",25-9045,"1,389.2","1,381.0",-8.2,-0.6,"35,240","Some college, no degree",4.1,3.5,3.2,3.2,3.3,3.3,1.6,4.1,3.5,3.0,1.2,1.5,3.5,2.6,2.3,3.7,4.0
"  Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,76.3,68.1,-8.2,-10.7,"45,190",High school diploma or equivalent,3.3,2.8,2.2,2.7,2.2,3.7,3.8,2.8,2.8,2.7,2.9,2.7,3.2,2.5,1.5,2.6,2.7
  Cost estimators,13-1051,227.9,219.6,-8.3,-3.6,"77,070",Bachelor's degree,3.7,3.7,2.7,3.7,2.4,3.4,1.4,2.9,3.1,4.1,1.2,1.2,3.6,3.2,1.9,3.4,3.8
"  Postal service mail sorters, processors, and processing machine operators",43-5053,111.3,102.5,-8.7,-7.9,"56,530",No formal educational credential,3.3,2.2,2.0,2.6,2.2,3.3,3.2,2.9,2.5,1.9,1.9,2.9,2.8,1.6,1.1,2.6,2.7
  Network and computer systems administrators,15-1244,335.4,326.6,-8.8,-2.6,"96,800",Bachelor's degree,3.9,4.4,2.9,3.8,2.4,3.6,2.5,3.1,2.7,3.0,2.8,1.5,3.7,3.0,1.6,3.1,3.6
  Structural metal fabricators and fitters,51-2041,59.3,50.3,-9.1,-15.3,"49,900",High school diploma or equivalent,3.3,1.8,2.3,2.6,2.4,3.7,3.2,3.0,2.5,2.6,2.5,2.7,3.1,1.9,1.8,2.6,2.5
  Postal service mail carriers,43-5052,316.7,307.1,-9.5,-3.0,"57,490",No formal educational credential,3.2,1.7,1.9,2.4,3.3,3.7,3.0,2.8,1.8,1.8,1.6,2.8,2.9,1.6,1.2,2.7,2.4
  Engine and other machine assemblers,51-2031,49.0,38.6,-10.4,-21.3,"52,540",High school diploma or equivalent,3.3,2.5,2.5,2.8,2.5,3.9,3.3,3.1,2.7,2.2,3.0,2.9,3.1,2.1,1.7,2.7,2.6
  Insurance claims and policy processing clerks,43-9041,271.8,261.3,-10.5,-3.9,"48,450",High school diploma or equivalent,3.6,3.6,2.1,2.9,3.0,3.6,2.2,3.3,2.3,2.6,1.1,1.3,3.3,2.0,1.1,3.0,3.4
"  Farmworkers, farm, ranch, and aquacultural animals",45-2093,204.7,194.1,-10.6,-5.2,"36,150",No formal educational credential,3.4,2.3,2.5,2.8,2.6,3.4,3.0,2.7,3.0,2.3,2.8,3.0,3.3,2.6,2.4,2.7,2.8
"  Elementary school teachers, except special education",25-2021,"1,441.0","1,430.4",-10.7,-0.7,"62,340",Bachelor's degree,4.4,3.4,3.5,3.5,3.3,3.5,1.8,4.2,3.7,3.0,1.2,2.0,3.7,2.7,1.8,3.9,3.8
"  Switchboard operators, including answering service",43-2011,44.9,33.6,-11.3,-25.2,"38,370",High school diploma or equivalent,3.6,3.3,2.0,2.6,3.7,3.3,2.3,3.4,2.3,2.0,1.3,1.4,3.1,1.7,1.0,3.6,2.8
"  Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,497.3,485.4,-11.9,-2.4,"35,690",No formal educational credential,3.3,2.3,2.5,2.7,2.4,3.2,3.5,2.9,2.9,2.3,2.8,3.6,2.7,2.6,2.2,2.7,2.8
"  Paper goods machine setters, operators, and tenders",51-9196,95.2,83.3,-11.9,-12.5,"49,390",High school diploma or equivalent,3.4,2.2,2.3,2.7,2.4,3.6,3.3,3.0,3.2,2.4,2.8,2.7,3.4,2.4,1.3,2.8,2.7
  Childcare workers,39-9011,970.8,957.8,-13.0,-1.3,"32,050",High school diploma or equivalent,3.9,2.2,3.0,2.7,3.1,3.3,1.8,3.8,3.1,2.2,1.3,2.5,3.3,2.2,1.3,3.0,3.0
  File clerks,43-4071,87.2,73.9,-13.3,-15.3,"41,270",High school diploma or equivalent,3.5,3.4,2.6,2.8,2.9,3.6,2.2,3.3,2.6,2.3,1.5,2.0,2.6,2.4,1.6,3.0,3.3
  Computer programmers,15-1251,139.4,126.0,-13.4,-9.6,"98,670",Bachelor's degree,3.9,4.7,3.2,3.9,2.3,3.7,2.2,3.0,2.9,3.2,1.4,1.2,3.4,2.5,1.8,3.2,3.5
"  Farmers, ranchers, and other agricultural managers",11-9013,856.6,842.9,-13.8,-1.6,"87,980",High school diploma or equivalent,3.7,2.9,3.0,3.5,2.9,3.4,2.7,3.3,3.7,3.0,2.6,2.4,3.8,3.5,3.0,3.3,3.5
  Printing press operators,51-5112,156.2,141.3,-14.9,-9.5,"45,160",High school diploma or equivalent,3.4,2.6,2.5,2.8,2.7,3.9,3.4,2.9,3.2,2.2,3.3,2.8,3.5,3.1,1.4,2.7,2.8
